"Column A: Track_id, The database name in gene level.
Column B: Gene_Name, The name of gene.
Column C: Locus, The genomic coordinate of gene.
Column D: Strand, The strand of gene.
Column E: Gene_Type, The biological type of gene.
Column F ~ N: FPKM, The FPKM of gene in samples."													
													
													
													
													
													
													
Gene Information					FPKM								
Track_id	Gene_Name	Locus	Strand	Gene_Type	Ctrl3	ACS3	SA2	SA3	ACS1	Ctrl1	Ctrl2	SA1	ACS2
ENSG00000000419.12_1	DPM1	chr20:49551404-49575092	-	protein_coding	3.367295062	9.096304391	7.838642682	8.848128041	12.25035165	7.255648998	7.375352597	5.764230238	7.004578812
ENSG00000000457.13_1	SCYL3	chr1:169818772-169863408	-	protein_coding	1.364962165	1.720633369	1.099374114	1.578072239	2.035762474	1.56714985	1.418937485	2.029080827	1.611222255
ENSG00000000460.16_2	C1orf112	chr1:169631245-169823221	+	protein_coding	0.971860412	0.724213805	0.747367567	1.193793561	1.229536508	1.240987302	0.890164406	0.964806745	0.7879805
ENSG00000000938.12_1	FGR	chr1:27938575-27961788	-	protein_coding	52.7483305	74.86190443	56.63835314	41.74071233	82.21041283	67.53377421	49.6353143	65.81782093	36.5012349
ENSG00000001036.13_1	FUCA2	chr6:143815948-143832827	-	protein_coding	0.71142186	1.996382883	1.555358993	1.147055183	2.347128459	1.857609149	2.031011936	2.331960874	3.907390706
ENSG00000001084.10_2	GCLC	chr6:53362139-53481768	-	protein_coding	3.969145722	4.153566729	4.253655131	6.23042925	4.847818242	4.540688775	4.811187388	6.032302539	6.040999596
ENSG00000001167.14_1	NFYA	chr6:41040684-41067715	+	protein_coding	3.880783339	6.181401879	4.446629684	5.965247247	7.63227795	5.448807151	5.541660324	6.052522189	5.281058775
ENSG00000001461.16_1	NIPAL3	chr1:24742284-24799466	+	protein_coding	1.738504853	1.436135145	1.391572616	1.541803548	1.84982619	1.379589245	1.505476424	2.165895719	2.071273751
ENSG00000001497.16_1	LAS1L	chrX:64732462-64754655	-	protein_coding	1.218335331	1.405580645	1.32562285	1.207614033	1.435240086	1.058637009	1.36046136	1.786194316	2.616577527
ENSG00000001561.6_1	ENPP4	chr6:46097730-46114436	+	protein_coding	0.73108	1.396487	0.863564	1.002964	1.709056	1.259878	1.126364	1.220283	1.574339
ENSG00000001629.9_2	ANKIB1	chr7:91875548-92030698	+	protein_coding	2.973964476	3.869024261	3.46733869	3.281678759	4.249565397	3.463147366	3.962471055	3.467510005	4.207262887
ENSG00000001630.15_2	CYP51A1	chr7:91741465-91772266	-	protein_coding	0.11382972	1.275760685	0.830713012	0.127173483	0.157259867	0.398414492	0.204821985	0.813315309	1.215020346
ENSG00000001631.15_2	KRIT1	chr7:91828283-91875480	-	protein_coding	2.391705527	3.521388335	3.267538917	4.054658188	3.187567188	2.878758788	3.581839907	4.428380411	3.517783802
ENSG00000002016.17_2	RAD52	chr12:1021243-1099219	-	protein_coding	0.685857665	0.697521738	0.527379132	0.239658063	0.927648354	0.574066091	1.314452839	0.711732431	1.141363942
ENSG00000002330.13_1	BAD	chr11:64037302-64052176	-	protein_coding	4.435572444	4.455566961	3.971194768	3.881008381	3.668926571	3.29682257	3.416477701	3.708509016	5.5433662
